rowid,koi_pdisposition,koi_disposition,koi_prad,
1173,FALSE POSITIVE,FALSE POSITIVE,0.08,0
5605,FALSE POSITIVE,FALSE POSITIVE,0.23,0
3429,CANDIDATE,CANDIDATE,0.24,1
5704,FALSE POSITIVE,FALSE POSITIVE,0.3,0
4463,CANDIDATE,CANDIDATE,0.3043,1
2547,CANDIDATE,CONFIRMED,0.31,1
2034,CANDIDATE,CANDIDATE,0.32,1
4360,FALSE POSITIVE,FALSE POSITIVE,0.32,0
6196,FALSE POSITIVE,FALSE POSITIVE,0.346,0
2558,FALSE POSITIVE,FALSE POSITIVE,0.37,0
3551,FALSE POSITIVE,FALSE POSITIVE,0.37,0
4032,FALSE POSITIVE,FALSE POSITIVE,0.376,0
5869,NOT DISPOSITIONED,NOT DISPOSITIONED,0.387,0
3428,FALSE POSITIVE,FALSE POSITIVE,0.39,0
4494,FALSE POSITIVE,FALSE POSITIVE,0.4,0
4074,CANDIDATE,CANDIDATE,0.4101,1
5568,FALSE POSITIVE,FALSE POSITIVE,0.42,0
4115,CANDIDATE,CANDIDATE,0.421,1
3051,FALSE POSITIVE,FALSE POSITIVE,0.43,0
7239,NOT DISPOSITIONED,NOT DISPOSITIONED,0.437,0
4242,CANDIDATE,CANDIDATE,0.44,1
5591,FALSE POSITIVE,FALSE POSITIVE,0.45,0
4272,FALSE POSITIVE,FALSE POSITIVE,0.451,0
5649,FALSE POSITIVE,FALSE POSITIVE,0.46,0
2149,CANDIDATE,CANDIDATE,0.47,1
3912,FALSE POSITIVE,FALSE POSITIVE,0.47,0
5744,FALSE POSITIVE,FALSE POSITIVE,0.47,0
3873,CANDIDATE,CANDIDATE,0.4704,1
2681,CANDIDATE,CANDIDATE,0.48,1
4190,FALSE POSITIVE,FALSE POSITIVE,0.48,0
1908,FALSE POSITIVE,FALSE POSITIVE,0.49,0
4081,FALSE POSITIVE,FALSE POSITIVE,0.49,0
4890,FALSE POSITIVE,FALSE POSITIVE,0.49,0
4214,FALSE POSITIVE,FALSE POSITIVE,0.5,0
5668,FALSE POSITIVE,FALSE POSITIVE,0.5,0
4736,FALSE POSITIVE,FALSE POSITIVE,0.501,0
4187,CANDIDATE,CANDIDATE,0.5076,1
1928,CANDIDATE,CANDIDATE,0.51,1
2033,CANDIDATE,CANDIDATE,0.51,1
4350,FALSE POSITIVE,FALSE POSITIVE,0.51,0
5512,CANDIDATE,CANDIDATE,0.51,1
6455,NOT DISPOSITIONED,NOT DISPOSITIONED,0.519,0
557,CANDIDATE,CANDIDATE,0.52,1
6597,NOT DISPOSITIONED,NOT DISPOSITIONED,0.529,0
3916,FALSE POSITIVE,FALSE POSITIVE,0.53,0
4978,FALSE POSITIVE,FALSE POSITIVE,0.53,0
5515,FALSE POSITIVE,FALSE POSITIVE,0.53,0
5057,CANDIDATE,CANDIDATE,0.539,1
312,FALSE POSITIVE,FALSE POSITIVE,0.54,0
505,FALSE POSITIVE,FALSE POSITIVE,0.54,0
3295,CANDIDATE,CONFIRMED,0.54,1
3502,CANDIDATE,CANDIDATE,0.54,1
4219,FALSE POSITIVE,FALSE POSITIVE,0.54,0
4893,FALSE POSITIVE,FALSE POSITIVE,0.54,0
5544,FALSE POSITIVE,FALSE POSITIVE,0.54,0
3745,FALSE POSITIVE,FALSE POSITIVE,0.55,0
4279,CANDIDATE,CANDIDATE,0.55,1
5617,FALSE POSITIVE,FALSE POSITIVE,0.55,0
5254,FALSE POSITIVE,FALSE POSITIVE,0.553,0
4342,FALSE POSITIVE,FALSE POSITIVE,0.554,0
3645,CANDIDATE,CANDIDATE,0.56,1
5513,CANDIDATE,CANDIDATE,0.56,1
5581,FALSE POSITIVE,FALSE POSITIVE,0.56,0
5716,FALSE POSITIVE,FALSE POSITIVE,0.56,0
5791,NOT DISPOSITIONED,NOT DISPOSITIONED,0.563603,0
6216,CANDIDATE,CANDIDATE,0.564,1
1673,CANDIDATE,CANDIDATE,0.57,1
2219,FALSE POSITIVE,FALSE POSITIVE,0.57,0
4191,FALSE POSITIVE,FALSE POSITIVE,0.57,0
5566,FALSE POSITIVE,FALSE POSITIVE,0.57,0
169,FALSE POSITIVE,FALSE POSITIVE,0.575,0
1539,FALSE POSITIVE,FALSE POSITIVE,0.58,0
2647,FALSE POSITIVE,FALSE POSITIVE,0.58,0
5902,NOT DISPOSITIONED,NOT DISPOSITIONED,0.582,0
6212,NOT DISPOSITIONED,NOT DISPOSITIONED,0.582,0
6483,FALSE POSITIVE,FALSE POSITIVE,0.583,0
382,FALSE POSITIVE,FALSE POSITIVE,0.589,0
4220,CANDIDATE,CANDIDATE,0.589,1
2144,CANDIDATE,CANDIDATE,0.59,1
2548,FALSE POSITIVE,FALSE POSITIVE,0.59,0
3888,FALSE POSITIVE,FALSE POSITIVE,0.59,0
3951,FALSE POSITIVE,FALSE POSITIVE,0.59,0
4800,FALSE POSITIVE,FALSE POSITIVE,0.591,0
1537,FALSE POSITIVE,FALSE POSITIVE,0.6,0
2194,CANDIDATE,CANDIDATE,0.6,1
4041,CANDIDATE,CANDIDATE,0.6,1
4224,FALSE POSITIVE,FALSE POSITIVE,0.6,0
5212,CANDIDATE,CANDIDATE,0.601,1
2001,FALSE POSITIVE,FALSE POSITIVE,0.61,0
2064,CANDIDATE,CANDIDATE,0.61,1
2967,CANDIDATE,CANDIDATE,0.61,1
4897,CANDIDATE,CANDIDATE,0.61,1
4054,CANDIDATE,CANDIDATE,0.619,1
5918,FALSE POSITIVE,FALSE POSITIVE,0.619,0
605,FALSE POSITIVE,FALSE POSITIVE,0.62,0
1440,FALSE POSITIVE,FALSE POSITIVE,0.62,0
1695,FALSE POSITIVE,FALSE POSITIVE,0.62,0
2879,FALSE POSITIVE,FALSE POSITIVE,0.62,0
4276,FALSE POSITIVE,FALSE POSITIVE,0.62,0
5747,FALSE POSITIVE,FALSE POSITIVE,0.62,0
5897,NOT DISPOSITIONED,NOT DISPOSITIONED,0.625,0
5083,CANDIDATE,CANDIDATE,0.629,1
1133,FALSE POSITIVE,FALSE POSITIVE,0.63,0
4842,FALSE POSITIVE,FALSE POSITIVE,0.63,0
5485,FALSE POSITIVE,FALSE POSITIVE,0.63,0
6927,NOT DISPOSITIONED,NOT DISPOSITIONED,0.63,0
385,CANDIDATE,CANDIDATE,0.631,1
5349,CANDIDATE,CANDIDATE,0.634,1
3891,CANDIDATE,CANDIDATE,0.635,1
159,FALSE POSITIVE,FALSE POSITIVE,0.637,0
313,CANDIDATE,CANDIDATE,0.637,1
4490,FALSE POSITIVE,FALSE POSITIVE,0.638,0
4847,FALSE POSITIVE,FALSE POSITIVE,0.639,0
58,FALSE POSITIVE,FALSE POSITIVE,0.64,0
364,CANDIDATE,CANDIDATE,0.64,1
1920,FALSE POSITIVE,FALSE POSITIVE,0.64,0
2565,FALSE POSITIVE,FALSE POSITIVE,0.64,0
3490,FALSE POSITIVE,FALSE POSITIVE,0.64,0
3961,CANDIDATE,CANDIDATE,0.64,1
2800,FALSE POSITIVE,FALSE POSITIVE,0.65,0
3941,CANDIDATE,CANDIDATE,0.65,1
5556,CANDIDATE,CANDIDATE,0.65,1
6408,NOT DISPOSITIONED,NOT DISPOSITIONED,0.65,0
4325,CANDIDATE,CANDIDATE,0.653,1
29,FALSE POSITIVE,FALSE POSITIVE,0.66,0
100,FALSE POSITIVE,FALSE POSITIVE,0.66,0
1134,FALSE POSITIVE,FALSE POSITIVE,0.66,0
1156,CANDIDATE,CANDIDATE,0.66,1
2076,CANDIDATE,CANDIDATE,0.66,1
2304,CANDIDATE,CANDIDATE,0.66,1
3211,CANDIDATE,CANDIDATE,0.66,1
3501,CANDIDATE,CANDIDATE,0.66,1
3508,CANDIDATE,CANDIDATE,0.66,1
4358,FALSE POSITIVE,FALSE POSITIVE,0.66,0
5525,FALSE POSITIVE,FALSE POSITIVE,0.66,0
6816,NOT DISPOSITIONED,NOT DISPOSITIONED,0.66,0
23,CANDIDATE,CANDIDATE,0.665,1
1950,CANDIDATE,CANDIDATE,0.67,1
3375,CANDIDATE,CANDIDATE,0.67,1
3480,FALSE POSITIVE,FALSE POSITIVE,0.67,0
4123,FALSE POSITIVE,FALSE POSITIVE,0.67,0
4812,FALSE POSITIVE,FALSE POSITIVE,0.67,0
4891,CANDIDATE,CANDIDATE,0.67,1
5776,FALSE POSITIVE,FALSE POSITIVE,0.67,0
5870,NOT DISPOSITIONED,NOT DISPOSITIONED,0.67,0
5318,CANDIDATE,CANDIDATE,0.672,1
5099,CANDIDATE,CANDIDATE,0.678,1
1779,CANDIDATE,CANDIDATE,0.68,1
3101,CANDIDATE,CANDIDATE,0.68,1
455,FALSE POSITIVE,FALSE POSITIVE,0.681,0
4489,CANDIDATE,CANDIDATE,0.681,1
60,FALSE POSITIVE,FALSE POSITIVE,0.683,0
4248,CANDIDATE,CANDIDATE,0.686,1
5220,FALSE POSITIVE,FALSE POSITIVE,0.686,0
231,FALSE POSITIVE,FALSE POSITIVE,0.687,0
4152,CANDIDATE,CANDIDATE,0.688,1
275,CANDIDATE,CANDIDATE,0.69,1
1875,CANDIDATE,CONFIRMED,0.69,1
3097,FALSE POSITIVE,FALSE POSITIVE,0.69,0
3242,CANDIDATE,CONFIRMED,0.69,1
3292,FALSE POSITIVE,FALSE POSITIVE,0.69,0
5559,FALSE POSITIVE,FALSE POSITIVE,0.69,0
4320,FALSE POSITIVE,FALSE POSITIVE,0.691,0
6781,NOT DISPOSITIONED,NOT DISPOSITIONED,0.692,0
3910,CANDIDATE,CANDIDATE,0.696,1
4457,FALSE POSITIVE,FALSE POSITIVE,0.696,0
18,FALSE POSITIVE,FALSE POSITIVE,0.7,0
139,CANDIDATE,CANDIDATE,0.7,1
552,FALSE POSITIVE,FALSE POSITIVE,0.7,0
1890,CANDIDATE,CONFIRMED,0.7,1
4030,FALSE POSITIVE,FALSE POSITIVE,0.7,0
4077,FALSE POSITIVE,FALSE POSITIVE,0.7,0
4318,CANDIDATE,CANDIDATE,0.7,1
4373,CANDIDATE,CANDIDATE,0.7,1
4439,FALSE POSITIVE,FALSE POSITIVE,0.7,0
4528,CANDIDATE,CANDIDATE,0.7,1
5016,CANDIDATE,CANDIDATE,0.7,1
5019,FALSE POSITIVE,FALSE POSITIVE,0.7,0
5474,FALSE POSITIVE,FALSE POSITIVE,0.7,0
5519,FALSE POSITIVE,FALSE POSITIVE,0.7,0
5616,FALSE POSITIVE,FALSE POSITIVE,0.7,0
4073,CANDIDATE,CONFIRMED,0.705,1
271,FALSE POSITIVE,FALSE POSITIVE,0.708,0
2680,CANDIDATE,CANDIDATE,0.71,1
3436,CANDIDATE,CANDIDATE,0.71,1
4729,FALSE POSITIVE,FALSE POSITIVE,0.71,0
4844,CANDIDATE,CANDIDATE,0.71,1
6982,NOT DISPOSITIONED,NOT DISPOSITIONED,0.712,0
7252,NOT DISPOSITIONED,NOT DISPOSITIONED,0.716,0
37,FALSE POSITIVE,FALSE POSITIVE,0.72,0
1701,CANDIDATE,CANDIDATE,0.72,1
2410,CANDIDATE,CANDIDATE,0.72,1
4492,FALSE POSITIVE,FALSE POSITIVE,0.72,0
4848,CANDIDATE,CANDIDATE,0.72,1
5404,CANDIDATE,CANDIDATE,0.727,1
7173,NOT DISPOSITIONED,NOT DISPOSITIONED,0.729,0
53,CANDIDATE,CONFIRMED,0.73,1
1859,CANDIDATE,CANDIDATE,0.73,1
2419,CANDIDATE,CONFIRMED,0.73,1
2769,CANDIDATE,CANDIDATE,0.73,1
2877,CANDIDATE,CANDIDATE,0.73,1
4375,FALSE POSITIVE,FALSE POSITIVE,0.73,0
5664,FALSE POSITIVE,FALSE POSITIVE,0.73,0
5962,NOT DISPOSITIONED,NOT DISPOSITIONED,0.73,0
6952,NOT DISPOSITIONED,NOT DISPOSITIONED,0.73,0
7040,NOT DISPOSITIONED,NOT DISPOSITIONED,0.73,0
6381,NOT DISPOSITIONED,NOT DISPOSITIONED,0.732,0
5868,NOT DISPOSITIONED,NOT DISPOSITIONED,0.738,0
409,FALSE POSITIVE,FALSE POSITIVE,0.74,0
2299,CANDIDATE,CANDIDATE,0.74,1
2421,CANDIDATE,CANDIDATE,0.74,1
2675,CANDIDATE,CANDIDATE,0.74,1
2926,FALSE POSITIVE,FALSE POSITIVE,0.74,0
3496,CANDIDATE,CANDIDATE,0.74,1
3546,CANDIDATE,CANDIDATE,0.74,1
3584,CANDIDATE,CANDIDATE,0.74,1
3978,FALSE POSITIVE,FALSE POSITIVE,0.74,0
4810,CANDIDATE,CANDIDATE,0.74,1
4851,FALSE POSITIVE,FALSE POSITIVE,0.74,0
5487,FALSE POSITIVE,FALSE POSITIVE,0.74,0
5594,FALSE POSITIVE,FALSE POSITIVE,0.74,0
5222,FALSE POSITIVE,FALSE POSITIVE,0.741,0
199,CANDIDATE,CANDIDATE,0.743,1
88,CANDIDATE,CANDIDATE,0.744,1
6825,NOT DISPOSITIONED,NOT DISPOSITIONED,0.744,0
4205,FALSE POSITIVE,FALSE POSITIVE,0.747,0
1899,CANDIDATE,CANDIDATE,0.75,1
2065,CANDIDATE,CANDIDATE,0.75,1
2075,FALSE POSITIVE,FALSE POSITIVE,0.75,0
2201,FALSE POSITIVE,FALSE POSITIVE,0.75,0
2483,CANDIDATE,CONFIRMED,0.75,1
2679,CANDIDATE,CANDIDATE,0.75,1
2828,FALSE POSITIVE,FALSE POSITIVE,0.75,0
3376,CANDIDATE,CANDIDATE,0.75,1
3424,FALSE POSITIVE,FALSE POSITIVE,0.75,0
5060,FALSE POSITIVE,FALSE POSITIVE,0.751,0
6038,NOT DISPOSITIONED,NOT DISPOSITIONED,0.751,0
582,FALSE POSITIVE,FALSE POSITIVE,0.752,0
4402,CANDIDATE,CANDIDATE,0.754,1
4222,CANDIDATE,CANDIDATE,0.755,1
4052,CANDIDATE,CANDIDATE,0.757,1
4427,FALSE POSITIVE,FALSE POSITIVE,0.759,0
6087,NOT DISPOSITIONED,NOT DISPOSITIONED,0.759,0
2488,FALSE POSITIVE,FALSE POSITIVE,0.76,0
3136,FALSE POSITIVE,FALSE POSITIVE,0.76,0
4048,CANDIDATE,CANDIDATE,0.76,1
4144,CANDIDATE,CANDIDATE,0.76,1
5532,FALSE POSITIVE,FALSE POSITIVE,0.76,0
5677,FALSE POSITIVE,FALSE POSITIVE,0.76,0
6802,FALSE POSITIVE,FALSE POSITIVE,0.76,0
5,FALSE POSITIVE,FALSE POSITIVE,0.763,0
141,CANDIDATE,CANDIDATE,0.764,1
765,CANDIDATE,CANDIDATE,0.77,1
1968,CANDIDATE,CANDIDATE,0.77,1
2923,CANDIDATE,CANDIDATE,0.77,1
3213,CANDIDATE,CANDIDATE,0.77,1
3217,FALSE POSITIVE,FALSE POSITIVE,0.77,0
3589,FALSE POSITIVE,FALSE POSITIVE,0.77,0
3669,CANDIDATE,CANDIDATE,0.77,1
3906,FALSE POSITIVE,FALSE POSITIVE,0.77,0
4196,CANDIDATE,CANDIDATE,0.77,1
4770,CANDIDATE,CANDIDATE,0.77,1
5473,FALSE POSITIVE,FALSE POSITIVE,0.77,0
5545,FALSE POSITIVE,FALSE POSITIVE,0.77,0
6447,CANDIDATE,CANDIDATE,0.77,1
7227,NOT DISPOSITIONED,NOT DISPOSITIONED,0.77,0
7249,NOT DISPOSITIONED,NOT DISPOSITIONED,0.77,0
142,CANDIDATE,CANDIDATE,0.772,1
34,FALSE POSITIVE,FALSE POSITIVE,0.774,0
592,FALSE POSITIVE,FALSE POSITIVE,0.778,0
84,FALSE POSITIVE,FALSE POSITIVE,0.78,0
614,FALSE POSITIVE,FALSE POSITIVE,0.78,0
759,CANDIDATE,CONFIRMED,0.78,1
1401,CANDIDATE,CANDIDATE,0.78,1
1559,CANDIDATE,CANDIDATE,0.78,1
1750,CANDIDATE,CANDIDATE,0.78,1
3662,FALSE POSITIVE,FALSE POSITIVE,0.78,0
4103,CANDIDATE,CANDIDATE,0.78,1
4362,CANDIDATE,CANDIDATE,0.78,1
4734,CANDIDATE,CANDIDATE,0.78,1
5064,CANDIDATE,CANDIDATE,0.78,1
6336,NOT DISPOSITIONED,NOT DISPOSITIONED,0.781,0
6953,NOT DISPOSITIONED,NOT DISPOSITIONED,0.783,0
73,FALSE POSITIVE,FALSE POSITIVE,0.784,0
3895,CANDIDATE,CANDIDATE,0.784,1
6589,FALSE POSITIVE,FALSE POSITIVE,0.784,0
196,CANDIDATE,CANDIDATE,0.79,1
1910,CANDIDATE,CANDIDATE,0.79,1
2415,CANDIDATE,CANDIDATE,0.79,1
3037,CANDIDATE,CANDIDATE,0.79,1
3060,CANDIDATE,CONFIRMED,0.79,1
3550,FALSE POSITIVE,FALSE POSITIVE,0.79,0
3927,FALSE POSITIVE,FALSE POSITIVE,0.79,0
4359,CANDIDATE,CANDIDATE,0.79,1
5278,FALSE POSITIVE,FALSE POSITIVE,0.79,0
6218,NOT DISPOSITIONED,NOT DISPOSITIONED,0.79,0
6911,FALSE POSITIVE,FALSE POSITIVE,0.79,0
133,CANDIDATE,CANDIDATE,0.793,1
4117,CANDIDATE,CANDIDATE,0.793,1
4008,FALSE POSITIVE,FALSE POSITIVE,0.794,0
4352,CANDIDATE,CANDIDATE,0.794,1
6973,NOT DISPOSITIONED,NOT DISPOSITIONED,0.797,0
434,FALSE POSITIVE,FALSE POSITIVE,0.799,0
766,CANDIDATE,CANDIDATE,0.8,1
2510,CANDIDATE,CANDIDATE,0.8,1
2649,CANDIDATE,CANDIDATE,0.8,1
3989,FALSE POSITIVE,FALSE POSITIVE,0.8,0
4009,FALSE POSITIVE,FALSE POSITIVE,0.8,0
4083,CANDIDATE,CANDIDATE,0.8,1
4232,FALSE POSITIVE,FALSE POSITIVE,0.8,0
4240,FALSE POSITIVE,FALSE POSITIVE,0.8,0
4264,FALSE POSITIVE,FALSE POSITIVE,0.8,0
4394,FALSE POSITIVE,FALSE POSITIVE,0.8,0
4404,CANDIDATE,CANDIDATE,0.8,1
4486,CANDIDATE,CANDIDATE,0.8,1
5509,FALSE POSITIVE,FALSE POSITIVE,0.8,0
4171,FALSE POSITIVE,FALSE POSITIVE,0.801,0
6671,NOT DISPOSITIONED,NOT DISPOSITIONED,0.806,0
6012,NOT DISPOSITIONED,NOT DISPOSITIONED,0.808,0
25,FALSE POSITIVE,FALSE POSITIVE,0.81,0
67,FALSE POSITIVE,FALSE POSITIVE,0.81,0
167,CANDIDATE,CANDIDATE,0.81,1
371,CANDIDATE,CANDIDATE,0.81,1
425,CANDIDATE,CONFIRMED,0.81,1
1052,CANDIDATE,CANDIDATE,0.81,1
1651,CANDIDATE,CANDIDATE,0.81,1
2795,FALSE POSITIVE,FALSE POSITIVE,0.81,0
2986,CANDIDATE,CANDIDATE,0.81,1
3827,CANDIDATE,CONFIRMED,0.81,1
3922,FALSE POSITIVE,FALSE POSITIVE,0.81,0
4355,CANDIDATE,CANDIDATE,0.81,1
5411,CANDIDATE,CANDIDATE,0.81,1
3936,CANDIDATE,CANDIDATE,0.812,1
437,FALSE POSITIVE,FALSE POSITIVE,0.815,0
485,CANDIDATE,CANDIDATE,0.815,1
166,FALSE POSITIVE,FALSE POSITIVE,0.817,0
1349,CANDIDATE,CANDIDATE,0.82,1
1810,CANDIDATE,CANDIDATE,0.82,1
1974,CANDIDATE,CONFIRMED,0.82,1
2069,CANDIDATE,CANDIDATE,0.82,1
2117,CANDIDATE,CONFIRMED,0.82,1
2627,CANDIDATE,CANDIDATE,0.82,1
3317,CANDIDATE,CANDIDATE,0.82,1
3548,FALSE POSITIVE,FALSE POSITIVE,0.82,0
4472,CANDIDATE,CANDIDATE,0.82,1
4617,CANDIDATE,CANDIDATE,0.82,1
4691,CANDIDATE,CANDIDATE,0.82,1
5734,FALSE POSITIVE,FALSE POSITIVE,0.82,0
6648,NOT DISPOSITIONED,NOT DISPOSITIONED,0.82,0
137,FALSE POSITIVE,FALSE POSITIVE,0.822,0
3868,CANDIDATE,CANDIDATE,0.825,1
6635,NOT DISPOSITIONED,NOT DISPOSITIONED,0.825,0
410,FALSE POSITIVE,FALSE POSITIVE,0.827,0
2230,CANDIDATE,CANDIDATE,0.83,1
2835,CANDIDATE,CANDIDATE,0.83,1
4146,CANDIDATE,CANDIDATE,0.83,1
4278,FALSE POSITIVE,FALSE POSITIVE,0.83,0
5193,CANDIDATE,CANDIDATE,0.83,1
5755,FALSE POSITIVE,FALSE POSITIVE,0.83,0
6147,CANDIDATE,CANDIDATE,0.83,1
4665,CANDIDATE,CANDIDATE,0.837,1
903,CANDIDATE,CONFIRMED,0.84,1
1842,FALSE POSITIVE,FALSE POSITIVE,0.84,0
1883,CANDIDATE,CANDIDATE,0.84,1
2089,CANDIDATE,CONFIRMED,0.84,1
2151,CANDIDATE,CANDIDATE,0.84,1
2713,CANDIDATE,CONFIRMED,0.84,1
3114,CANDIDATE,CONFIRMED,0.84,1
3159,CANDIDATE,CANDIDATE,0.84,1
3334,CANDIDATE,CONFIRMED,0.84,1
4313,CANDIDATE,CANDIDATE,0.84,1
4816,FALSE POSITIVE,FALSE POSITIVE,0.84,0
5546,CANDIDATE,CANDIDATE,0.84,1
193,CANDIDATE,CANDIDATE,0.842,1
4089,FALSE POSITIVE,FALSE POSITIVE,0.842,0
4476,CANDIDATE,CANDIDATE,0.843,1
4145,FALSE POSITIVE,FALSE POSITIVE,0.845,0
458,FALSE POSITIVE,FALSE POSITIVE,0.848,0
47,FALSE POSITIVE,FALSE POSITIVE,0.85,0
68,FALSE POSITIVE,FALSE POSITIVE,0.85,0
351,FALSE POSITIVE,FALSE POSITIVE,0.85,0
2045,FALSE POSITIVE,FALSE POSITIVE,0.85,0
2829,CANDIDATE,CANDIDATE,0.85,1
3038,CANDIDATE,CANDIDATE,0.85,1
4125,CANDIDATE,CANDIDATE,0.85,1
4234,FALSE POSITIVE,FALSE POSITIVE,0.85,0
4137,CANDIDATE,CANDIDATE,0.854,1
4228,FALSE POSITIVE,FALSE POSITIVE,0.8553,0
386,CANDIDATE,CANDIDATE,0.856,1
6651,NOT DISPOSITIONED,NOT DISPOSITIONED,0.856,0
5828,FALSE POSITIVE,FALSE POSITIVE,0.857,0
353,FALSE POSITIVE,FALSE POSITIVE,0.86,0
1053,FALSE POSITIVE,FALSE POSITIVE,0.86,0
1309,CANDIDATE,CONFIRMED,0.86,1
2015,CANDIDATE,CANDIDATE,0.86,1
2883,CANDIDATE,CANDIDATE,0.86,1
3426,CANDIDATE,CANDIDATE,0.86,1
4026,CANDIDATE,CANDIDATE,0.86,1
4317,CANDIDATE,CANDIDATE,0.86,1
4769,CANDIDATE,CANDIDATE,0.86,1
6795,NOT DISPOSITIONED,NOT DISPOSITIONED,0.862,0
5066,CANDIDATE,CANDIDATE,0.863,1
4964,CANDIDATE,CANDIDATE,0.864,1
5357,CANDIDATE,CANDIDATE,0.864,1
5936,NOT DISPOSITIONED,NOT DISPOSITIONED,0.864,0
4168,CANDIDATE,CANDIDATE,0.866,1
4461,FALSE POSITIVE,FALSE POSITIVE,0.867,0
4488,FALSE POSITIVE,FALSE POSITIVE,0.867,0
5997,CANDIDATE,CANDIDATE,0.869,1
1771,CANDIDATE,CANDIDATE,0.87,1
2172,CANDIDATE,CONFIRMED,0.87,1
3311,CANDIDATE,CANDIDATE,0.87,1
3444,CANDIDATE,CANDIDATE,0.87,1
3879,FALSE POSITIVE,FALSE POSITIVE,0.87,0
5987,FALSE POSITIVE,FALSE POSITIVE,0.87,0
7059,NOT DISPOSITIONED,NOT DISPOSITIONED,0.87,0
556,CANDIDATE,CANDIDATE,0.874,1
4737,CANDIDATE,CANDIDATE,0.874,1
4049,CANDIDATE,CANDIDATE,0.876,1
4088,CANDIDATE,CANDIDATE,0.876,1
5070,CANDIDATE,CANDIDATE,0.877,1
355,FALSE POSITIVE,FALSE POSITIVE,0.879,0
311,CANDIDATE,CANDIDATE,0.88,1
942,CANDIDATE,CANDIDATE,0.88,1
1700,CANDIDATE,CANDIDATE,0.88,1
1897,CANDIDATE,CANDIDATE,0.88,1
2006,CANDIDATE,CANDIDATE,0.88,1
2884,CANDIDATE,CANDIDATE,0.88,1
3382,CANDIDATE,CANDIDATE,0.88,1
3824,CANDIDATE,CONFIRMED,0.88,1
3862,CANDIDATE,CANDIDATE,0.88,1
4477,CANDIDATE,CANDIDATE,0.88,1
5558,FALSE POSITIVE,FALSE POSITIVE,0.88,0
5578,CANDIDATE,CANDIDATE,0.88,1
5690,FALSE POSITIVE,FALSE POSITIVE,0.88,0
6304,NOT DISPOSITIONED,NOT DISPOSITIONED,0.88,0
6962,NOT DISPOSITIONED,NOT DISPOSITIONED,0.88,0
49,FALSE POSITIVE,FALSE POSITIVE,0.883,0
4155,CANDIDATE,CANDIDATE,0.883,1
4871,CANDIDATE,CANDIDATE,0.884,1
6613,NOT DISPOSITIONED,NOT DISPOSITIONED,0.884,0
1740,CANDIDATE,CANDIDATE,0.89,1
1767,CANDIDATE,CANDIDATE,0.89,1
3039,FALSE POSITIVE,FALSE POSITIVE,0.89,0
3106,FALSE POSITIVE,FALSE POSITIVE,0.89,0
