pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,st_dist,st_disterr1,st_disterr2,pl_disc
NaN,NaN,NaN,NaN,NaN,NaN,77.4,4.03,-4.5,2006
NaN,NaN,NaN,NaN,NaN,NaN,56.95,2.36,-2.58,2008
NaN,NaN,NaN,NaN,NaN,NaN,19.84,0.27,-0.28,2011
NaN,NaN,NaN,NaN,NaN,NaN,110.62,9.61,-11.63,2007
NaN,NaN,NaN,NaN,NaN,NaN,119.47,6.22,-6.95,2009
NaN,NaN,NaN,NaN,NaN,NaN,76.39,3.93,-4.38,2008
NaN,NaN,NaN,NaN,NaN,NaN,18.15,0.19,-0.2,2002
1.68,0.15,-0.15,NaN,NaN,NaN,21.41,0.24,-0.24,1996
NaN,NaN,NaN,NaN,NaN,NaN,73.1,3.56,-3.94,2008
NaN,NaN,NaN,NaN,NaN,NaN,74.79,4.57,-5.21,2010
NaN,NaN,NaN,NaN,NaN,NaN,74.79,4.57,-5.21,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.43,1.64,-1.79,2009
NaN,NaN,NaN,NaN,NaN,NaN,97.28,4.34,-4.76,2008
NaN,NaN,NaN,NaN,NaN,NaN,14.08,0.13,-0.13,1996
NaN,NaN,NaN,NaN,NaN,NaN,14.08,0.13,-0.13,2001
NaN,NaN,NaN,NaN,NaN,NaN,14.08,0.13,-0.13,2009
NaN,NaN,NaN,NaN,NaN,NaN,15.36,0.18,-0.18,1995
NaN,NaN,NaN,NaN,NaN,NaN,12.53,0.13,-0.13,1996
NaN,NaN,NaN,NaN,NaN,NaN,12.53,0.13,-0.13,2004
NaN,NaN,NaN,NaN,NaN,NaN,12.53,0.13,-0.13,2002
0.027,0.001,-0.001,0.178,0.012,-0.012,12.53,0.13,-0.13,2011
NaN,NaN,NaN,NaN,NaN,NaN,12.53,0.13,-0.13,2007
NaN,NaN,NaN,NaN,NaN,NaN,8.52,0.05,-0.05,2009
NaN,NaN,NaN,NaN,NaN,NaN,8.52,0.05,-0.05,2009
NaN,NaN,NaN,NaN,NaN,NaN,8.52,0.05,-0.05,2009
7.49,0.61,-0.61,NaN,NaN,NaN,18.11,0.24,-0.24,1996
3,NaN,NaN,NaN,NaN,NaN,81.5,6.87,-8.27,2012
NaN,NaN,NaN,NaN,NaN,NaN,97.18,8.37,-10.11,2008
NaN,NaN,NaN,NaN,NaN,NaN,45.52,1.77,-1.92,2013
13.5,0.5,-0.5,NaN,NaN,NaN,45.52,1.64,-1.76,2005
17,6,-6,2.2,0.81,-0.6,165,30,-30,2007
11,10,-3,NaN,NaN,NaN,140,15,-15,2004
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009
15.711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008
20,NaN,NaN,3,0.5,-0.5,139,45,-45,2004
21.9987,9.42803,-9.42803,1.051,0.136,-0.058,18.39,0.28,-0.29,2006
7.33,0.31,-0.31,NaN,NaN,NaN,500,NaN,NaN,2010
2.3,0.5,-0.5,NaN,NaN,NaN,500,NaN,NaN,2010
2.3,0.3,-0.3,NaN,NaN,NaN,NaN,NaN,NaN,2011
6.3,1.5,-1.5,NaN,NaN,NaN,NaN,NaN,NaN,2011
7.7,1.2,-1.2,NaN,NaN,NaN,NaN,NaN,NaN,2011
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012
NaN,NaN,NaN,NaN,NaN,NaN,20.21,0.4,-0.41,2010
NaN,NaN,NaN,NaN,NaN,NaN,1.35,0,0,2012
8,4,-2,NaN,NaN,NaN,19.28,0.19,-0.19,2008
NaN,NaN,NaN,NaN,NaN,NaN,3.22,0.01,-0.01,2000
6.7,0.3,-0.3,NaN,NaN,NaN,70.42,3.31,-3.65,2012
NaN,NaN,NaN,NaN,NaN,NaN,47.53,1.78,-1.93,2006
NaN,NaN,NaN,NaN,NaN,NaN,38.52,1.19,-1.27,2009
NaN,NaN,NaN,NaN,NaN,NaN,13.79,0.1,-0.1,2003
1.6,NaN,NaN,NaN,NaN,NaN,31.12,0.58,-0.6,2007
13.616,23.042,-1.047,NaN,NaN,NaN,52.03,1.7,-1.82,2012
NaN,NaN,NaN,NaN,NaN,NaN,62.66,3.73,-4.23,2007
24,NaN,NaN,NaN,NaN,NaN,46.84,1.67,-1.8,2012
27,NaN,NaN,NaN,NaN,NaN,46.84,1.67,-1.8,2012
NaN,NaN,NaN,NaN,NaN,NaN,80.64,4.48,-5.05,2013
1.5,NaN,NaN,NaN,NaN,NaN,84.03,4.92,-5.57,2012
4.1,NaN,NaN,NaN,NaN,NaN,56.31,1.99,-2.14,2012
NaN,NaN,NaN,NaN,NaN,NaN,17.43,0.21,-0.22,1997
5.95,0.28,-0.28,NaN,NaN,NaN,15.6,0.17,-0.17,1996
NaN,NaN,NaN,NaN,NaN,NaN,92.51,7.62,-9.12,2013
NaN,NaN,NaN,NaN,NaN,NaN,13.47,0.13,-0.13,1996
NaN,NaN,NaN,NaN,NaN,NaN,13.47,0.13,-0.13,1999
NaN,NaN,NaN,NaN,NaN,NaN,13.47,0.13,-0.13,1999
NaN,NaN,NaN,NaN,NaN,NaN,13.47,0.13,-0.13,2010
2.6,0.9,-0.9,1.2,NaN,NaN,7.69,0.05,-0.05,2008
8,4,-2,1.664,NaN,NaN,145,20,-20,2008
24.5,2.5,-2.5,NaN,NaN,NaN,36,4,-4,2013
7.5,2.5,-2.5,NaN,NaN,NaN,140,NaN,NaN,2010
4,1,-1,NaN,NaN,NaN,52.4,1.1,-1.1,2004
20.95,83.79,-20.95,0.92,0.39,-0.36,25,10,-10,2009
NaN,NaN,NaN,NaN,NaN,NaN,37.54,1.87,-2.08,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007
0.458,0.039,-0.039,NaN,NaN,NaN,80,10,-10,2000
NaN,NaN,NaN,NaN,NaN,NaN,42.09,2.67,-3.06,2009
NaN,NaN,NaN,NaN,NaN,NaN,42.09,2.67,-3.06,2009
NaN,NaN,NaN,NaN,NaN,NaN,20.1,0.65,-0.69,2013
NaN,NaN,NaN,NaN,NaN,NaN,20.1,0.65,-0.69,2013
NaN,NaN,NaN,NaN,NaN,NaN,50.03,3.73,-4.38,2009
NaN,NaN,NaN,NaN,NaN,NaN,175.44,NaN,NaN,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009
4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2011
10.5,4.5,-4.5,NaN,NaN,NaN,23.1,2.4,-2.4,2011
12.569,8.379,-5.237,NaN,NaN,NaN,NaN,NaN,NaN,2006
1.03,0.12,-0.12,1.49,0.08,-0.08,NaN,NaN,NaN,2008
3.47,0.22,-0.22,1.466,0.042,-0.044,200,NaN,NaN,2008
21.66,1,-1,1.01,0.07,-0.07,680,160,-160,2008
0.72,0.08,-0.08,1.19,0.06,-0.05,NaN,NaN,NaN,2008
0.467,0.047,-0.024,1.388,0.046,-0.047,NaN,NaN,NaN,2009
2.96,0.34,-0.34,1.166,0.035,-0.035,NaN,NaN,NaN,2009
0.015,0.003,-0.003,0.15,0.008,-0.008,150,20,-20,2009
0.026,0.003,-0.003,NaN,NaN,NaN,150,20,-20,2009
0.22,0.03,-0.03,0.57,0.02,-0.02,380,30,-30,2010
0.84,0.07,-0.07,1.05,0.04,-0.04,460,NaN,NaN,2009
2.75,0.16,-0.16,0.97,0.07,-0.07,345,70,-70,2010
2.33,0.34,-0.34,1.43,0.03,-0.03,560,30,-30,2010
0.917,0.07,-0.065,1.44,0.13,-0.13,1150,85,-85,2010
1.308,0.066,-0.066,0.885,0.014,-0.014,1060,100,-100,2010
7.6,0.6,-0.6,1.09,0.07,-0.07,1340,110,-110,2010
0.535,0.085,-0.083,1.17,0.16,-0.14,840,90,-90,2011
2.43,0.3,-0.3,1.02,0.07,-0.07,920,50,-50,2011
3.47,0.38,-0.38,1.31,0.18,-0.18,870,90,-90,2011
1.11,0.06,-0.06,1.29,0.03,-0.03,770,160,-160,2011
4.24,0.23,-0.23,0.84,0.04,-0.04,1230,120,-120,2011
2.8,0.3,-0.3,1.05,0.13,-0.13,600,50,-50,2011
10.39,0.55,-0.55,1.007,0.044,-0.044,NaN,NaN,NaN,2014
28.5,1.9,-1.9,NaN,NaN,NaN,20.77,0.08,-0.08,2013
NaN,NaN,NaN,NaN,NaN,NaN,10.91,0.07,-0.07,1999
NaN,NaN,NaN,NaN,NaN,NaN,14.97,0.44,-0.46,2013
NaN,NaN,NaN,NaN,NaN,NaN,14.97,0.44,-0.46,2013
NaN,NaN,NaN,NaN,NaN,NaN,14.97,0.44,-0.46,2013
NaN,NaN,NaN,NaN,NaN,NaN,12.12,0.56,-0.62,2009
2.5,0.7,-0.4,NaN,NaN,NaN,15.1,0.22,-0.22,2007
NaN,NaN,NaN,NaN,NaN,NaN,20.03,0.85,-0.92,2013
NaN,NaN,NaN,NaN,NaN,NaN,9.04,0.14,-0.15,2011
0.0729,0.0025,-0.0025,0.377,0.008,-0.009,10.23,0.23,-0.24,2004
4,4.5,-1,NaN,NaN,NaN,17.95,0.27,-0.28,2013
NaN,NaN,NaN,NaN,NaN,NaN,6.27,0.09,-0.09,2005
NaN,NaN,NaN,NaN,NaN,NaN,6.27,0.09,-0.09,2005
NaN,NaN,NaN,NaN,NaN,NaN,6.27,0.09,-0.09,2005
NaN,NaN,NaN,NaN,NaN,NaN,6.27,0.09,-0.09,2005
NaN,NaN,NaN,NaN,NaN,NaN,10.32,0.16,-0.16,2009
NaN,NaN,NaN,NaN,NaN,NaN,6.8,NaN,NaN,2011
NaN,NaN,NaN,NaN,NaN,NaN,6.8,NaN,NaN,2011
NaN,NaN,NaN,NaN,NaN,NaN,6.8,NaN,NaN,2013
NaN,NaN,NaN,NaN,NaN,NaN,6.8,NaN,NaN,2013
NaN,NaN,NaN,NaN,NaN,NaN,6.8,NaN,NaN,2013
NaN,NaN,NaN,NaN,NaN,NaN,6.8,NaN,NaN,2013
NaN,NaN,NaN,NaN,NaN,NaN,4.54,0.03,-0.03,2007
NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.46,-0.49,2010
NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.46,-0.49,2012
NaN,NaN,NaN,NaN,NaN,NaN,16.13,0.46,-0.49,2012
NaN,NaN,NaN,NaN,NaN,NaN,4.94,0.03,-0.03,2008
NaN,NaN,NaN,NaN,NaN,NaN,8.77,0.16,-0.17,2006
2.2756,0.0045,-0.0045,NaN,NaN,NaN,4.7,0.05,-0.05,1998
0.7142,0.0039,-0.0039,NaN,NaN,NaN,4.7,0.05,-0.05,2000
0.021,0.001,-0.001,NaN,NaN,NaN,4.7,0.05,-0.05,2005
0.046,0.005,-0.005,NaN,NaN,NaN,4.7,0.05,-0.05,2010
0.02,0.003,-0.003,0.203,0.007,-0.007,NaN,NaN,NaN,2009
NaN,NaN,NaN,NaN,NaN,NaN,17.62,0.16,-0.17,2000
0.044,0.005,-0.005,0.37,0.05,-0.05,25.2,2.9,-2.9,2012
8.4,4,-1.5,NaN,NaN,NaN,19.8,0.6,-0.6,2010
13.5,1.5,-1.5,NaN,NaN,NaN,145,14,-14,2010
0.524,0.031,-0.031,1.225,0.059,-0.059,139,22,-19,2006
9.09,0.24,-0.24,1.157,0.073,-0.062,135.32,14.4,-18.29,2007
0.591,0.018,-0.018,0.827,0.055,-0.055,138,10,-10,2007
0.671,0.033,-0.044,1.274,0.049,-0.06,314,24,-24,2007
1.06,0.11,-0.11,1.26,0.05,-0.05,342,30,-30,2007
1.057,0.119,-0.119,1.33,0.061,-0.061,261,20,-20,2007
1.52,0.18,-0.16,1.5,0.08,-0.06,230,15,-15,2008
0.78,0.09,-0.09,1.4,0.06,-0.06,480,60,-60,2008
0.211,0.012,-0.012,0.959,0.029,-0.021,142.5,4.2,-3.3,2009
0.853,0.029,-0.046,1.271,0.079,-0.079,214,12,-12,2009
NaN,NaN,NaN,NaN,NaN,NaN,214,12,-12,2009
2.232,0.059,-0.059,1.15,0.052,-0.052,205,11,-11,2010
1.946,0.066,-0.066,1.072,0.043,-0.043,190,8,-8,2010
4.193,0.094,-0.094,1.289,0.066,-0.066,235,10,-10,2010
0.534,0.018,-0.018,1.01,0.029,-0.029,90,3,-3,2010
NaN,NaN,NaN,NaN,NaN,NaN,90,3,-3,2010
0.197,0.013,-0.013,0.995,0.052,-0.052,166,9,-9,2010
0.292,0.018,-0.018,1.132,0.072,-0.072,215,15,-15,2010
7.246,0.187,-0.187,0.867,0.033,-0.033,70,3,-3,2010
4.063,0.161,-0.161,1.024,0.092,-0.092,254,19,-19,2010
2.147,0.061,-0.061,1.08,0.058,-0.058,82,3,-3,2010
2.09,0.111,-0.111,1.368,0.09,-0.09,393,25,-25,2010
0.685,0.033,-0.033,1.242,0.067,-0.067,396,20,-20,2010
0.567,0.022,-0.022,1.19,0.081,-0.056,297,17,-13,2010
0.059,0.007,-0.007,0.565,0.072,-0.032,134,18,-8,2010
0.62,0.03,-0.03,1.02,0.07,-0.06,204,14,-14,2011
0.626,0.037,-0.037,1.212,0.113,-0.082,395,34,-26,2011
0.778,0.076,-0.04,1.107,0.136,-0.082,322,35,-21,2011
0.711,0.028,-0.028,1.34,0.065,-0.065,193,8,-8,2011
2.171,0.105,-0.077,1.07,0.24,-0.16,354,74,-51,2011
0.86,0.164,-0.164,1.789,0.025,-0.025,283,5,-5,2011
0.762,0.101,-0.101,1.686,0.045,-0.045,387,9,-9,2011
3.328,0.211,-0.211,1.197,0.128,-0.092,257,22,-17,2011
1.054,0.033,-0.033,1.332,0.098,-0.098,535,32,-32,2011
1.832,0.099,-0.099,1.264,0.071,-0.071,317,17,-17,2011
1.169,0.103,-0.103,1.178,0.077,-0.077,411,26,-26,2011
0.267,0.02,-0.02,0.825,0.092,-0.063,249,26,-19,2012
0.599,0.099,-0.099,1.571,0.108,-0.081,642,29,-29,2012
0.615,0.038,-0.038,1.73,0.062,-0.062,501,16,-16,2012
0.8,0.102,-0.102,1.685,0.076,-0.051,344,12,-8,2012
1.044,0.083,-0.083,1.28,0.153,-0.153,447,41,-41,2012
0.662,0.06,-0.06,1.281,0.062,-0.033,542,22,-16,2012
1.73,0.205,-0.205,1.413,0.128,-0.077,322,24,-13,2014
1.855,0.262,-0.196,1.302,0.162,-0.098,303,38,-23,2012
1.345,0.15,-0.15,1.168,0.03,-0.03,360,11,-11,2013
1.071,0.136,-0.136,1.381,0.035,-0.035,453,11,-11,2013
NaN,NaN,NaN,NaN,NaN,NaN,25.64,0.41,-0.43,2001
NaN,NaN,NaN,NaN,NaN,NaN,25.64,0.41,-0.43,2012
NaN,NaN,NaN,NaN,NaN,NaN,23.44,0.46,-0.48,2009
NaN,NaN,NaN,NaN,NaN,NaN,167.5,25.26,-36.16,2011
NaN,NaN,NaN,NaN,NaN,NaN,7.01,NaN,NaN,2010
NaN,NaN,NaN,NaN,NaN,NaN,89.85,8.28,-10.15,2002
NaN,NaN,NaN,NaN,NaN,NaN,53.71,3.63,-4.2,2005
NaN,NaN,NaN,NaN,NaN,NaN,115.21,8.71,-10.26,2013
NaN,NaN,NaN,NaN,NaN,NaN,11.11,0.09,-0.09,2003
NaN,NaN,NaN,NaN,NaN,NaN,44.05,1.84,-2.01,2007
NaN,NaN,NaN,NaN,NaN,NaN,32.7,1.12,-1.2,2001
NaN,NaN,NaN,NaN,NaN,NaN,21.85,0.26,-0.27,2005
NaN,NaN,NaN,NaN,NaN,NaN,77.82,7,-8.53,2001
NaN,NaN,NaN,NaN,NaN,NaN,77.82,7,-8.53,2014
NaN,NaN,NaN,NaN,NaN,NaN,131.41,14.45,-18.52,2009
NaN,NaN,NaN,NaN,NaN,NaN,56.5,2.99,-3.35,2012
NaN,NaN,NaN,NaN,NaN,NaN,56.5,2.99,-3.35,2012
NaN,NaN,NaN,NaN,NaN,NaN,100,9.17,-11.23,2007
NaN,NaN,NaN,NaN,NaN,NaN,53.28,2.59,-2.87,2009
1.4,NaN,NaN,NaN,NaN,NaN,58.17,2.68,-2.95,2012
NaN,NaN,NaN,NaN,NaN,NaN,150.6,23.21,-33.56,2011
NaN,NaN,NaN,NaN,NaN,NaN,40.32,1.4,-1.5,2003
NaN,NaN,NaN,NaN,NaN,NaN,55.01,2.76,-3.07,2009
NaN,NaN,NaN,NaN,NaN,NaN,35.88,0.87,-0.91,2011
NaN,NaN,NaN,NaN,NaN,NaN,38.52,1.11,-1.18,2011
NaN,NaN,NaN,NaN,NaN,NaN,38.52,1.11,-1.18,2011
NaN,NaN,NaN,NaN,NaN,NaN,16.82,0.17,-0.17,2008
NaN,NaN,NaN,NaN,NaN,NaN,56.34,2.55,-2.8,2010
NaN,NaN,NaN,NaN,NaN,NaN,44.15,1.54,-1.66,2002
NaN,NaN,NaN,NaN,NaN,NaN,38.26,1.12,-1.19,2009
NaN,NaN,NaN,NaN,NaN,NaN,52.85,2.8,-3.14,2009
NaN,NaN,NaN,NaN,NaN,NaN,52.85,2.8,-3.14,2009
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,17.35,0.19,-0.19,2006
NaN,NaN,NaN,NaN,NaN,NaN,32.56,0.84,-0.88,1999
NaN,NaN,NaN,NaN,NaN,NaN,53.82,2.67,-2.96,2007
NaN,NaN,NaN,NaN,NaN,NaN,53.82,2.67,-2.96,2008
NaN,NaN,NaN,NaN,NaN,NaN,66.49,2.02,-2.14,2005
NaN,NaN,NaN,NaN,NaN,NaN,33.98,1.02,-1.08,2005
NaN,NaN,NaN,NaN,NaN,NaN,33.98,1.02,-1.08,2008
NaN,NaN,NaN,NaN,NaN,NaN,37.16,1.11,-1.18,2000
NaN,NaN,NaN,NaN,NaN,NaN,37.16,1.11,-1.18,2002
NaN,NaN,NaN,NaN,NaN,NaN,300.3,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,66.89,3.6,-4.03,2013
NaN,NaN,NaN,NaN,NaN,NaN,66.89,3.6,-4.03,2013
NaN,NaN,NaN,NaN,NaN,NaN,45.52,1.91,-2.08,2009
NaN,NaN,NaN,NaN,NaN,NaN,35.91,1.71,-1.89,2000
NaN,NaN,NaN,NaN,NaN,NaN,25.54,0.41,-0.42,2008
NaN,NaN,NaN,NaN,NaN,NaN,59.84,3.28,-3.69,2009
NaN,NaN,NaN,NaN,NaN,NaN,50.18,6.2,-8.24,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007
3.191,0.033,-0.033,1.087,0.007,-0.007,78.25,5.15,-5.93,2007
NaN,NaN,NaN,NaN,NaN,NaN,127.88,15.27,-20.05,2011
NaN,NaN,NaN,NaN,NaN,NaN,22.38,0.37,-0.38,2003
NaN,NaN,NaN,NaN,NaN,NaN,6.06,0.02,-0.02,2011
NaN,NaN,NaN,NaN,NaN,NaN,6.06,0.02,-0.02,2011
NaN,NaN,NaN,NaN,NaN,NaN,6.06,0.02,-0.02,2011
NaN,NaN,NaN,NaN,NaN,NaN,36.02,1.11,-1.18,2006
NaN,NaN,NaN,NaN,NaN,NaN,44.5,2.68,-3.05,2008
NaN,NaN,NaN,NaN,NaN,NaN,89.13,5.65,-6.48,2006
NaN,NaN,NaN,NaN,NaN,NaN,34.6,0.66,-0.68,2001
NaN,NaN,NaN,NaN,NaN,NaN,31.79,1.33,-1.45,2011
NaN,NaN,NaN,NaN,NaN,NaN,51.97,2.2,-2.4,2003
NaN,NaN,NaN,NaN,NaN,NaN,46.51,2.13,-2.34,2006
NaN,NaN,NaN,NaN,NaN,NaN,56.05,1.82,-1.95,2010
NaN,NaN,NaN,NaN,NaN,NaN,18.24,0.17,-0.17,2000
NaN,NaN,NaN,NaN,NaN,NaN,44.54,1.5,-1.6,2012
NaN,NaN,NaN,NaN,NaN,NaN,42.37,1.57,-1.7,2005
NaN,NaN,NaN,NaN,NaN,NaN,56.18,1.95,-2.1,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.56,1.62,-1.76,2001
NaN,NaN,NaN,NaN,NaN,NaN,168.92,30.03,-46.6,2011
NaN,NaN,NaN,NaN,NaN,NaN,54.71,2.21,-2.41,2002
NaN,NaN,NaN,NaN,NaN,NaN,26.5,0.61,-0.64,2009
NaN,NaN,NaN,NaN,NaN,NaN,121.07,11.78,-14.62,2011
NaN,NaN,NaN,NaN,NaN,NaN,53.82,3.06,-3.45,2010
NaN,NaN,NaN,NaN,NaN,NaN,117.37,9.84,-11.83,2009
NaN,NaN,NaN,NaN,NaN,NaN,136.8,15.73,-20.43,2011
NaN,NaN,NaN,NaN,NaN,NaN,86.88,6.3,-7.37,2006
NaN,NaN,NaN,NaN,NaN,NaN,20.98,0.23,-0.23,2005
NaN,NaN,NaN,NaN,NaN,NaN,45.01,2.03,-2.23,2009
NaN,NaN,NaN,NaN,NaN,NaN,33.24,1.22,-1.32,2002
NaN,NaN,NaN,NaN,NaN,NaN,33.24,1.22,-1.32,2002
NaN,NaN,NaN,NaN,NaN,NaN,33.24,1.22,-1.32,2005
NaN,NaN,NaN,NaN,NaN,NaN,42.88,2.28,-2.55,2004
NaN,NaN,NaN,NaN,NaN,NaN,42.88,2.28,-2.55,2012
0.34,0.02,-0.02,NaN,NaN,NaN,37.78,0.78,-0.82,2010
NaN,NaN,NaN,NaN,NaN,NaN,42.43,1.59,-1.72,2000
NaN,NaN,NaN,NaN,NaN,NaN,42.43,1.59,-1.72,2000
