pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,st_dist,st_disterr1,st_disterr2,pl_disc
NaN,NaN,NaN,NaN,NaN,NaN,99.4,14.66,-20.79,2009
NaN,NaN,NaN,NaN,NaN,NaN,18.21,0.15,-0.15,2001
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2008
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2008
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2008
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2012
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2012
NaN,NaN,NaN,NaN,NaN,NaN,12.83,0.09,-0.09,2012
NaN,NaN,NaN,NaN,NaN,NaN,33.33,0.89,-0.94,2002
NaN,NaN,NaN,NaN,NaN,NaN,43.03,1.81,-1.98,2004
NaN,NaN,NaN,NaN,NaN,NaN,43.03,1.81,-1.98,2003
NaN,NaN,NaN,NaN,NaN,NaN,52.03,2.05,-2.23,2013
NaN,NaN,NaN,NaN,NaN,NaN,52.03,2.05,-2.23,2013
NaN,NaN,NaN,NaN,NaN,NaN,54.94,5.88,-7.48,2010
NaN,NaN,NaN,NaN,NaN,NaN,37.05,1.11,-1.18,2008
NaN,NaN,NaN,NaN,NaN,NaN,93.2,9.09,-11.3,2007
NaN,NaN,NaN,NaN,NaN,NaN,50.43,2.47,-2.73,2010
NaN,NaN,NaN,NaN,NaN,NaN,32.58,0.84,-0.88,2008
NaN,NaN,NaN,NaN,NaN,NaN,32.58,0.84,-0.88,2008
NaN,NaN,NaN,NaN,NaN,NaN,48.95,2.24,-2.47,2004
NaN,NaN,NaN,NaN,NaN,NaN,36.14,1.61,-1.77,2008
NaN,NaN,NaN,NaN,NaN,NaN,33.41,1.15,-1.24,2000
NaN,NaN,NaN,NaN,NaN,NaN,37.84,1.21,-1.29,2008
NaN,NaN,NaN,NaN,NaN,NaN,37.84,1.21,-1.29,2008
NaN,NaN,NaN,NaN,NaN,NaN,121.36,7.72,-8.85,2002
NaN,NaN,NaN,NaN,NaN,NaN,87.41,5.18,-5.87,2008
NaN,NaN,NaN,NaN,NaN,NaN,40.73,1.81,-1.98,2002
NaN,NaN,NaN,NaN,NaN,NaN,47.26,1.47,-1.57,2005
NaN,NaN,NaN,NaN,NaN,NaN,31.03,0.94,-1,2002
NaN,NaN,NaN,NaN,NaN,NaN,28.07,0.65,-0.68,2000
NaN,NaN,NaN,NaN,NaN,NaN,25.7,0.43,-0.44,2008
NaN,NaN,NaN,NaN,NaN,NaN,25.7,0.43,-0.44,2008
NaN,NaN,NaN,NaN,NaN,NaN,35.8,1.07,-1.14,2005
NaN,NaN,NaN,NaN,NaN,NaN,10.34,0.09,-0.09,2006
NaN,NaN,NaN,NaN,NaN,NaN,32.62,0.72,-0.75,2009
NaN,NaN,NaN,NaN,NaN,NaN,35.59,0.85,-0.9,2003
NaN,NaN,NaN,NaN,NaN,NaN,35.59,0.85,-0.9,2011
NaN,NaN,NaN,NaN,NaN,NaN,80.06,5.82,-6.82,2012
NaN,NaN,NaN,NaN,NaN,NaN,55.04,3.52,-4.03,2005
NaN,NaN,NaN,NaN,NaN,NaN,58.82,3.14,-3.52,2001
NaN,NaN,NaN,NaN,NaN,NaN,12.58,0.12,-0.12,2006
NaN,NaN,NaN,NaN,NaN,NaN,12.58,0.12,-0.12,2006
NaN,NaN,NaN,NaN,NaN,NaN,12.58,0.12,-0.12,2006
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007
NaN,NaN,NaN,NaN,NaN,NaN,28.76,0.49,-0.5,2003
NaN,NaN,NaN,NaN,NaN,NaN,51.36,2.58,-2.87,2002
NaN,NaN,NaN,NaN,NaN,NaN,53.05,2.7,-3,2008
NaN,NaN,NaN,NaN,NaN,NaN,36.52,1,-1.06,2003
NaN,NaN,NaN,NaN,NaN,NaN,94.61,8.25,-9.99,2002
NaN,NaN,NaN,NaN,NaN,NaN,94.61,8.25,-9.99,2005
NaN,NaN,NaN,NaN,NaN,NaN,96.99,9.43,-11.7,2008
NaN,NaN,NaN,NaN,NaN,NaN,64.56,4.28,-4.93,2003
NaN,NaN,NaN,NaN,NaN,NaN,64.56,4.28,-4.93,2003
NaN,NaN,NaN,NaN,NaN,NaN,28.94,0.46,-0.48,1999
NaN,NaN,NaN,NaN,NaN,NaN,80.58,6.45,-7.68,2007
NaN,NaN,NaN,NaN,NaN,NaN,59.7,2.26,-2.45,2002
0.05,0.015,-0.017,NaN,NaN,NaN,41.27,1.92,-2.11,2012
NaN,NaN,NaN,NaN,NaN,NaN,48.64,2.21,-2.43,2011
3.94,0.11,-0.11,0.98,0.03,-0.03,29.04,NaN,NaN,2001
NaN,NaN,NaN,NaN,NaN,NaN,32.56,1.26,-1.37,2005
NaN,NaN,NaN,NaN,NaN,NaN,88.26,6.09,-7.07,2007
1.681,0.028,-0.028,NaN,NaN,NaN,27.46,0.62,-0.65,2003
1.959,0.047,-0.047,NaN,NaN,NaN,27.46,0.62,-0.65,2003
NaN,NaN,NaN,NaN,NaN,NaN,112.23,10.5,-12.92,2011
NaN,NaN,NaN,NaN,NaN,NaN,43.53,1.64,-1.77,2002
NaN,NaN,NaN,NaN,NaN,NaN,33.96,0.94,-1,2009
NaN,NaN,NaN,NaN,NaN,NaN,11.15,0.1,-0.1,2011
NaN,NaN,NaN,NaN,NaN,NaN,91.16,9.06,-11.3,2006
NaN,NaN,NaN,NaN,NaN,NaN,42.48,1.48,-1.59,2009
NaN,NaN,NaN,NaN,NaN,NaN,72.57,4.08,-4.59,2009
NaN,NaN,NaN,NaN,NaN,NaN,18.06,0.3,-0.31,2009
NaN,NaN,NaN,NaN,NaN,NaN,74.46,5.92,-7.04,2004
NaN,NaN,NaN,NaN,NaN,NaN,30.88,0.92,-0.97,2009
NaN,NaN,NaN,NaN,NaN,NaN,38.99,1.04,-1.09,1999
NaN,NaN,NaN,NaN,NaN,NaN,22.09,0.36,-0.37,2009
NaN,NaN,NaN,NaN,NaN,NaN,32.32,1,-1.07,2000
NaN,NaN,NaN,NaN,NaN,NaN,28.9,0.81,-0.86,2005
5,2,-2,NaN,NaN,NaN,91.57,4.62,-5.14,2013
NaN,NaN,NaN,NaN,NaN,NaN,149.03,19.67,-26.72,2009
NaN,NaN,NaN,NaN,NaN,NaN,132.8,16.39,-21.76,2011
NaN,NaN,NaN,NaN,NaN,NaN,84.03,8.22,-10.22,2009
NaN,NaN,NaN,NaN,NaN,NaN,221.24,NaN,NaN,2011
0.024,0.003,-0.002,0.2,0.009,-0.008,21.3,0.43,-0.45,2010
NaN,NaN,NaN,NaN,NaN,NaN,150.38,18.62,-24.75,2011
NaN,NaN,NaN,NaN,NaN,NaN,42.77,1.75,-1.91,2012
NaN,NaN,NaN,NaN,NaN,NaN,60.46,4.44,-5.2,2005
NaN,NaN,NaN,NaN,NaN,NaN,17.99,1.01,-1.14,2004
NaN,NaN,NaN,NaN,NaN,NaN,17.99,1.01,-1.14,2010
NaN,NaN,NaN,NaN,NaN,NaN,130.89,13.24,-16.6,2011
NaN,NaN,NaN,NaN,NaN,NaN,140.85,15.06,-19.16,2011
NaN,NaN,NaN,NaN,NaN,NaN,52.8,3,-3.38,2007
NaN,NaN,NaN,NaN,NaN,NaN,30.5,0.87,-0.92,2005
NaN,NaN,NaN,NaN,NaN,NaN,42,1.41,-1.52,2005
NaN,NaN,NaN,NaN,NaN,NaN,28.98,0.94,-1.01,2006
NaN,NaN,NaN,NaN,NaN,NaN,164.2,NaN,NaN,2008
NaN,NaN,NaN,NaN,NaN,NaN,9.24,0.06,-0.06,2010
NaN,NaN,NaN,NaN,NaN,NaN,138.5,17.44,-23.31,2011
NaN,NaN,NaN,NaN,NaN,NaN,121.07,12.37,-15.55,2010
NaN,NaN,NaN,NaN,NaN,NaN,49.33,3.34,-3.86,2009
NaN,NaN,NaN,NaN,NaN,NaN,53.08,2.27,-2.48,2013
NaN,NaN,NaN,NaN,NaN,NaN,20.82,0.44,-0.46,2009
NaN,NaN,NaN,NaN,NaN,NaN,102.04,5.14,-5.72,2003
NaN,NaN,NaN,NaN,NaN,NaN,37.44,1.23,-1.32,2002
NaN,NaN,NaN,NaN,NaN,NaN,87.87,7.23,-8.65,2011
NaN,NaN,NaN,NaN,NaN,NaN,36.36,1.93,-2.16,2012
11,2,-2,NaN,NaN,NaN,91.83,7.01,-8.27,2013
NaN,NaN,NaN,NaN,NaN,NaN,51.26,2.5,-2.77,2005
NaN,NaN,NaN,NaN,NaN,NaN,38.56,1,-1.05,2002
NaN,NaN,NaN,NaN,NaN,NaN,138.5,18.02,-24.36,2011
NaN,NaN,NaN,NaN,NaN,NaN,68.54,5.37,-6.37,2002
NaN,NaN,NaN,NaN,NaN,NaN,68.54,5.37,-6.37,2005
NaN,NaN,NaN,NaN,NaN,NaN,65.62,3.16,-3.49,2010
NaN,NaN,NaN,NaN,NaN,NaN,56.92,2.89,-3.22,2013
NaN,NaN,NaN,NaN,NaN,NaN,56.92,2.89,-3.22,2013
NaN,NaN,NaN,NaN,NaN,NaN,59.03,5.98,-7.5,2005
NaN,NaN,NaN,NaN,NaN,NaN,97.66,7.73,-9.18,2009
NaN,NaN,NaN,NaN,NaN,NaN,28.88,0.65,-0.68,2003
NaN,NaN,NaN,NaN,NaN,NaN,37.42,0.73,-0.76,2013
NaN,NaN,NaN,NaN,NaN,NaN,15.71,0.32,-0.34,2010
NaN,NaN,NaN,NaN,NaN,NaN,15.71,0.32,-0.34,2010
NaN,NaN,NaN,NaN,NaN,NaN,28.04,1,-1.08,2003
NaN,NaN,NaN,NaN,NaN,NaN,20.48,0.33,-0.34,2014
NaN,NaN,NaN,NaN,NaN,NaN,40.57,2.24,-2.52,1989
NaN,NaN,NaN,NaN,NaN,NaN,20.43,0.43,-0.45,2001
NaN,NaN,NaN,NaN,NaN,NaN,35,1.15,-1.23,2002
NaN,NaN,NaN,NaN,NaN,NaN,110.62,10.82,-13.45,2011
NaN,NaN,NaN,NaN,NaN,NaN,33.01,0.97,-1.03,2004
NaN,NaN,NaN,NaN,NaN,NaN,38.02,1.3,-1.39,2004
NaN,NaN,NaN,NaN,NaN,NaN,88.57,6,-6.94,2005
NaN,NaN,NaN,NaN,NaN,NaN,97.66,4.46,-4.91,2013
NaN,NaN,NaN,NaN,NaN,NaN,44.37,1.72,-1.87,2003
NaN,NaN,NaN,NaN,NaN,NaN,52.83,3.64,-4.22,2007
NaN,NaN,NaN,NaN,NaN,NaN,52.83,3.64,-4.22,2009
NaN,NaN,NaN,NaN,NaN,NaN,52.83,3.64,-4.22,2009
NaN,NaN,NaN,NaN,NaN,NaN,27.45,0.88,-0.94,2009
NaN,NaN,NaN,NaN,NaN,NaN,68.35,4.98,-5.83,2009
NaN,NaN,NaN,NaN,NaN,NaN,16.57,0.27,-0.28,2002
NaN,NaN,NaN,NaN,NaN,NaN,16.57,0.27,-0.28,2005
NaN,NaN,NaN,NaN,NaN,NaN,67.61,4.8,-5.59,2009
NaN,NaN,NaN,NaN,NaN,NaN,29.76,1.28,-1.4,1999
NaN,NaN,NaN,NaN,NaN,NaN,121.36,12.9,-16.38,2011
NaN,NaN,NaN,NaN,NaN,NaN,70.97,3.68,-4.1,2007
NaN,NaN,NaN,NaN,NaN,NaN,98.52,16.28,-24.33,2011
NaN,NaN,NaN,NaN,NaN,NaN,57.21,2.8,-3.11,2008
NaN,NaN,NaN,NaN,NaN,NaN,25.65,0.63,-0.66,1999
NaN,NaN,NaN,NaN,NaN,NaN,25.65,0.63,-0.66,2009
NaN,NaN,NaN,NaN,NaN,NaN,106.38,7.57,-8.82,2009
NaN,NaN,NaN,NaN,NaN,NaN,121.36,7.46,-8.51,2008
NaN,NaN,NaN,NaN,NaN,NaN,38.45,2.59,-2.99,2011
NaN,NaN,NaN,NaN,NaN,NaN,33.46,1.17,-1.25,2002
NaN,NaN,NaN,NaN,NaN,NaN,106.38,9.67,-11.82,2011
NaN,NaN,NaN,NaN,NaN,NaN,34.57,0.98,-1.03,2003
NaN,NaN,NaN,NaN,NaN,NaN,59.35,4.19,-4.88,2008
NaN,NaN,NaN,NaN,NaN,NaN,126.1,10.63,-12.78,2010
NaN,NaN,NaN,NaN,NaN,NaN,35.87,0.85,-0.9,2005
NaN,NaN,NaN,NaN,NaN,NaN,55.19,3.16,-3.57,2008
NaN,NaN,NaN,NaN,NaN,NaN,42.68,1.66,-1.8,2009
NaN,NaN,NaN,NaN,NaN,NaN,42.68,1.66,-1.8,2009
NaN,NaN,NaN,NaN,NaN,NaN,12.87,0.14,-0.14,2003
NaN,NaN,NaN,NaN,NaN,NaN,53.05,2.75,-3.07,2009
NaN,NaN,NaN,NaN,NaN,NaN,59.28,3.19,-3.58,2009
0.368,0.013,-0.014,0.813,0.027,-0.025,78.86,4.62,-5.24,2005
NaN,NaN,NaN,NaN,NaN,NaN,63.49,4.04,-4.63,2005
NaN,NaN,NaN,NaN,NaN,NaN,85.18,9.19,-11.72,2009
NaN,NaN,NaN,NaN,NaN,NaN,182.82,31.76,-48.67,2011
NaN,NaN,NaN,NaN,NaN,NaN,51.87,3.18,-3.63,2008
NaN,NaN,NaN,NaN,NaN,NaN,18.06,0.18,-0.18,2006
NaN,NaN,NaN,NaN,NaN,NaN,65.79,4.48,-5.18,2008
NaN,NaN,NaN,NaN,NaN,NaN,68.54,4.02,-4.56,2004
NaN,NaN,NaN,NaN,NaN,NaN,68.54,4.02,-4.56,2014
NaN,NaN,NaN,NaN,NaN,NaN,43.4,1.26,-1.34,2007
NaN,NaN,NaN,NaN,NaN,NaN,43.4,1.26,-1.34,2007
NaN,NaN,NaN,NaN,NaN,NaN,35.37,0.76,-0.79,2011
NaN,NaN,NaN,NaN,NaN,NaN,55.1,2.41,-2.64,2009
NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.59,-0.62,2010
NaN,NaN,NaN,NaN,NaN,NaN,49,2.13,-2.34,2007
NaN,NaN,NaN,NaN,NaN,NaN,114.15,10.2,-12.43,2011
NaN,NaN,NaN,NaN,NaN,NaN,68.59,5.42,-6.43,2013
NaN,NaN,NaN,NaN,NaN,NaN,68.59,5.42,-6.43,2013
NaN,NaN,NaN,NaN,NaN,NaN,52.72,2.82,-3.15,2006
NaN,NaN,NaN,NaN,NaN,NaN,52.72,2.82,-3.15,2012
1.676,NaN,NaN,NaN,NaN,NaN,15.28,0.18,-0.19,2000
NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.18,-0.19,2004
0.03321,NaN,NaN,NaN,NaN,NaN,15.28,0.18,-0.19,2004
0.5219,NaN,NaN,NaN,NaN,NaN,15.28,0.18,-0.19,2006
NaN,NaN,NaN,NaN,NaN,NaN,31.26,1.38,-1.52,2002
NaN,NaN,NaN,NaN,NaN,NaN,69.44,2.95,-3.23,2010
NaN,NaN,NaN,NaN,NaN,NaN,69.44,2.95,-3.23,2010
NaN,NaN,NaN,NaN,NaN,NaN,51.81,2.72,-3.04,2010
NaN,NaN,NaN,NaN,NaN,NaN,21.92,0.34,-0.35,2005
NaN,NaN,NaN,NaN,NaN,NaN,37.98,2.48,-2.85,2009
NaN,NaN,NaN,NaN,NaN,NaN,42.99,2.54,-2.88,2012
NaN,NaN,NaN,NaN,NaN,NaN,50,1.24,-1.31,2007
NaN,NaN,NaN,NaN,NaN,NaN,37.88,1.18,-1.26,1998
NaN,NaN,NaN,NaN,NaN,NaN,37.88,1.18,-1.26,2000
NaN,NaN,NaN,NaN,NaN,NaN,43.12,1.71,-1.86,2002
NaN,NaN,NaN,NaN,NaN,NaN,36.32,1.16,-1.24,2000
NaN,NaN,NaN,NaN,NaN,NaN,36.32,1.16,-1.24,2003
NaN,NaN,NaN,NaN,NaN,NaN,64.98,4.37,-5.05,2007
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007
NaN,NaN,NaN,NaN,NaN,NaN,44.05,2.33,-2.61,2009
NaN,NaN,NaN,NaN,NaN,NaN,134.95,9.01,-10.4,2008
NaN,NaN,NaN,NaN,NaN,NaN,67.02,3.85,-4.35,2009
NaN,NaN,NaN,NaN,NaN,NaN,127.55,16.07,-21.48,2007
NaN,NaN,NaN,NaN,NaN,NaN,59.03,2.54,-2.77,1999
NaN,NaN,NaN,NaN,NaN,NaN,59.03,2.54,-2.77,2010
NaN,NaN,NaN,NaN,NaN,NaN,46.73,8.78,-14.06,2001
NaN,NaN,NaN,NaN,NaN,NaN,63.69,3.6,-4.06,2008
NaN,NaN,NaN,NaN,NaN,NaN,27.05,0.57,-0.6,2000
22,NaN,NaN,NaN,NaN,NaN,131.75,10.25,-12.13,2010
NaN,NaN,NaN,NaN,NaN,NaN,114.55,11.77,-14.82,2009
NaN,NaN,NaN,NaN,NaN,NaN,115.47,11.09,-13.73,2009
NaN,NaN,NaN,NaN,NaN,NaN,55.93,3.82,-4.42,2009
NaN,NaN,NaN,NaN,NaN,NaN,26.15,0.76,-0.81,2008
NaN,NaN,NaN,NaN,NaN,NaN,26.15,0.76,-0.81,2008
NaN,NaN,NaN,NaN,NaN,NaN,26.15,0.76,-0.81,2008
NaN,NaN,NaN,NaN,NaN,NaN,52.83,2.8,-3.13,2004
NaN,NaN,NaN,NaN,NaN,NaN,52.83,2.8,-3.13,2008
NaN,NaN,NaN,NaN,NaN,NaN,47.37,1.6,-1.72,2006
NaN,NaN,NaN,NaN,NaN,NaN,47.92,1.58,-1.69,1998
NaN,NaN,NaN,NaN,NaN,NaN,47.92,1.58,-1.69,1999
NaN,NaN,NaN,NaN,NaN,NaN,44.98,2.19,-2.43,2006
NaN,NaN,NaN,NaN,NaN,NaN,52.63,2.51,-2.77,2004
1.15,0.039,-0.039,1.151,0.038,-0.038,19.25,0.32,-0.33,2005
NaN,NaN,NaN,NaN,NaN,NaN,62.11,2.97,-3.29,2002
NaN,NaN,NaN,NaN,NaN,NaN,15.89,0.16,-0.16,2003
NaN,NaN,NaN,NaN,NaN,NaN,15.89,0.16,-0.16,2005
NaN,NaN,NaN,NaN,NaN,NaN,54.23,3.05,-3.44,2007
NaN,NaN,NaN,NaN,NaN,NaN,189.39,36.26,-58.74,2009
NaN,NaN,NaN,NaN,NaN,NaN,19.89,0.44,-0.46,1999
NaN,NaN,NaN,NaN,NaN,NaN,8.82,0.07,-0.07,2011
NaN,NaN,NaN,NaN,NaN,NaN,8.82,0.07,-0.07,2011
NaN,NaN,NaN,NaN,NaN,NaN,67.39,3.89,-4.4,2007
NaN,NaN,NaN,NaN,NaN,NaN,37.35,1.2,-1.28,1999
NaN,NaN,NaN,NaN,NaN,NaN,46.93,1.92,-2.09,2002
NaN,NaN,NaN,NaN,NaN,NaN,43.57,3.65,-4.39,2012
NaN,NaN,NaN,NaN,NaN,NaN,32.99,0.86,-0.91,2007
NaN,NaN,NaN,NaN,NaN,NaN,32.83,0.63,-0.66,2011
NaN,NaN,NaN,NaN,NaN,NaN,68.35,4.5,-5.18,2010
NaN,NaN,NaN,NaN,NaN,NaN,68.35,4.5,-5.18,2010
NaN,NaN,NaN,NaN,NaN,NaN,46.34,2.33,-2.58,2002
NaN,NaN,NaN,NaN,NaN,NaN,46.34,2.33,-2.58,2004
24.09,8.379,-11.521,NaN,NaN,NaN,40.85,1.68,-1.83,2006
NaN,NaN,NaN,NaN,NaN,NaN,47.3,2.26,-2.5,2009
NaN,NaN,NaN,NaN,NaN,NaN,47.3,2.26,-2.5,2012
NaN,NaN,NaN,NaN,NaN,NaN,26.95,0.88,-0.95,2011
NaN,NaN,NaN,NaN,NaN,NaN,90.33,8.3,-10.17,2008
NaN,NaN,NaN,NaN,NaN,NaN,170.07,27.01,-39.58,2009
0.56,0.06,-0.03,NaN,NaN,NaN,55.31,3.42,-3.9,2012
0.73,0.18,-0.05,NaN,NaN,NaN,55.31,3.42,-3.9,2012
NaN,NaN,NaN,NaN,NaN,NaN,352.11,75.1,-130.98,2012
NaN,NaN,NaN,NaN,NaN,NaN,43.99,1.87,-2.05,2004
0.714,0.017,-0.017,1.38,0.017,-0.017,47.08,2.12,-2.33,1999
NaN,NaN,NaN,NaN,NaN,NaN,21.29,0.35,-0.36,1998
1.9,NaN,NaN,NaN,NaN,NaN,55.93,2.22,-2.41,2007
NaN,NaN,NaN,NaN,NaN,NaN,121.8,13.93,-18.06,2009
NaN,NaN,NaN,NaN,NaN,NaN,52.72,1.95,-2.11,2005
NaN,NaN,NaN,NaN,NaN,NaN,40.75,1.3,-1.39,2001
NaN,NaN,NaN,NaN,NaN,NaN,43.53,2.25,-2.51,2009
NaN,NaN,NaN,NaN,NaN,NaN,43.53,2.25,-2.51,2009
NaN,NaN,NaN,NaN,NaN,NaN,33.29,0.79,-0.83,2002
NaN,NaN,NaN,NaN,NaN,NaN,26.52,0.4,-0.41,2002
NaN,NaN,NaN,NaN,NaN,NaN,37.89,1.46,-1.59,2003
NaN,NaN,NaN,NaN,NaN,NaN,19.72,0.29,-0.3,1998
NaN,NaN,NaN,NaN,NaN,NaN,19.72,0.29,-0.3,2005
NaN,NaN,NaN,NaN,NaN,NaN,54.92,2.78,-3.09,2010
NaN,NaN,NaN,NaN,NaN,NaN,29.94,1.03,-1.11,2010
NaN,NaN,NaN,NaN,NaN,NaN,29.2,0.51,-0.53,2012
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012
NaN,NaN,NaN,NaN,NaN,NaN,81.1,6.14,-7.24,2007
NaN,NaN,NaN,NaN,NaN,NaN,289.02,42.71,-60.63,2012
NaN,NaN,NaN,NaN,NaN,NaN,45.23,1.81,-1.96,2012
NaN,NaN,NaN,NaN,NaN,NaN,48.43,2.32,-2.57,2011
NaN,NaN,NaN,NaN,NaN,NaN,52.88,2.2,-2.4,2007
NaN,NaN,NaN,NaN,NaN,NaN,50.45,2,-2.18,2011
NaN,NaN,NaN,NaN,NaN,NaN,41.95,1.87,-2.05,1999
NaN,NaN,NaN,NaN,NaN,NaN,94.07,9.33,-11.64,2006
NaN,NaN,NaN,NaN,NaN,NaN,108.46,11.94,-15.3,2007
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009
NaN,NaN,NaN,NaN,NaN,NaN,307.69,NaN,NaN,2011
NaN,NaN,NaN,NaN,NaN,NaN,54.92,4.02,-4.72,2009
NaN,NaN,NaN,NaN,NaN,NaN,9.42,0.22,-0.23,2008
NaN,NaN,NaN,NaN,NaN,NaN,50.2,3.49,-4.06,2004
NaN,NaN,NaN,NaN,NaN,NaN,44.8,3.89,-4.7,2009
15.04,10.55,-10.55,NaN,NaN,NaN,44.8,3.89,-4.7,2011
NaN,NaN,NaN,NaN,NaN,NaN,23.8,0.86,-0.93,2010
NaN,NaN,NaN,NaN,NaN,NaN,52.88,3.77,-4.39,2005
NaN,NaN,NaN,NaN,NaN,NaN,52.88,3.77,-4.39,2006
NaN,NaN,NaN,NaN,NaN,NaN,52.88,3.77,-4.39,2009
NaN,NaN,NaN,NaN,NaN,NaN,11.03,0.36,-0.38,2010
NaN,NaN,NaN,NaN,NaN,NaN,25.87,0.71,-0.75,2011
