pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,st_dist,st_disterr1,st_disterr2,pl_disc
NaN,NaN,NaN,0.097,0.019,-0.019,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.232,0.045,-0.045,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.305,0.058,-0.058,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.205,0.039,-0.039,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.697,0.132,-0.132,NaN,NaN,NaN,2014
NaN,NaN,NaN,1.008,0.191,-0.191,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.175,0.084,-0.084,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.685,0.306,-0.306,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.321,0.122,-0.122,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.082,0.031,-0.031,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.192,0.015,-0.015,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.136,0.008,-0.008,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.209,0.113,-0.113,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.203,0.112,-0.112,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.209,0.041,-0.041,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.524,0.103,-0.103,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.196,0.039,-0.039,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.232,0.048,-0.048,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.262,0.051,-0.051,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.132,0.027,-0.027,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.065,0.004,-0.004,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.156,0.008,-0.008,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.099,0.006,-0.006,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.211,0.009,-0.009,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.066,0.004,-0.004,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.136,0.009,-0.009,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.141,0.012,-0.012,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.223,0.004,-0.004,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.125,0.004,-0.004,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.237,0.012,-0.012,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.236,0.012,-0.012,NaN,NaN,NaN,2014
0.097,0.019,-0.019,0.101,0.003,-0.003,NaN,NaN,NaN,2013
0.105,0.01,-0.01,0.101,0.003,-0.003,NaN,NaN,NaN,2013
NaN,NaN,NaN,0.211,0.019,-0.019,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.227,0.009,-0.009,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.091,0.004,-0.004,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.259,0.022,-0.022,NaN,NaN,NaN,2013
NaN,NaN,NaN,0.146,0.014,-0.014,NaN,NaN,NaN,2014
0.051,0.011,-0.011,0.215,0.018,-0.018,NaN,NaN,NaN,2014
0.026,0.019,-0.019,0.075,0.006,-0.006,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.108,0.021,-0.021,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.114,0.022,-0.022,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.138,0.027,-0.027,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.157,0.027,-0.027,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.253,0.043,-0.043,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.178,0.035,-0.035,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.112,0.022,-0.022,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.161,0.031,-0.031,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.103,0.021,-0.021,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.183,0.034,-0.034,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.178,0.033,-0.033,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.131,0.01,-0.01,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.168,0.012,-0.012,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.054,0.004,-0.004,NaN,NaN,NaN,2014
0.012,0.005,-0.004,0.144,0.014,-0.013,NaN,NaN,NaN,2014
0.003,0.001,-0.001,0.144,0.014,-0.013,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.262,0.051,-0.051,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.302,0.062,-0.062,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.144,0.028,-0.028,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.161,0.031,-0.031,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.062,0.004,-0.004,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.126,0.008,-0.008,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.178,0.035,-0.035,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.255,0.049,-0.049,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.193,0.042,-0.042,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.215,0.054,-0.054,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.301,0.075,-0.075,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.119,0.023,-0.023,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.12,0.023,-0.023,NaN,NaN,NaN,2014
0.117,0.036,-0.036,0.236,0.007,-0.007,NaN,NaN,NaN,2013
0.25,0.052,-0.052,0.385,0.011,-0.011,NaN,NaN,NaN,2013
NaN,NaN,NaN,0.331,0.062,-0.062,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.279,0.053,-0.053,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.136,0.028,-0.028,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.217,0.044,-0.044,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.161,0.078,-0.078,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.321,0.157,-0.157,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.376,0.054,-0.054,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.144,0.021,-0.021,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.353,0.061,-0.061,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.112,0.017,-0.017,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.329,0.053,-0.053,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.249,0.037,-0.037,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.278,0.049,-0.049,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.273,0.136,-0.136,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.186,0.093,-0.093,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.249,0.015,-0.015,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.213,0.014,-0.014,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.261,0.157,-0.157,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.226,0.136,-0.136,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.202,0.039,-0.039,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.263,0.055,-0.055,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.186,0.019,-0.019,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.2,0.013,-0.013,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.205,0.015,-0.015,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.227,0.017,-0.017,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.118,0.023,-0.023,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.2,0.038,-0.038,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.189,0.032,-0.032,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.17,0.027,-0.027,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.212,0.016,-0.016,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.304,0.025,-0.025,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.137,0.068,-0.068,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.322,0.158,-0.158,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.189,0.012,-0.012,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.183,0.013,-0.013,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.112,0.06,-0.06,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.27,0.145,-0.145,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.094,0.039,-0.039,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.202,0.084,-0.084,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.126,0.025,-0.025,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.244,0.046,-0.046,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.219,0.042,-0.042,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.207,0.126,-0.126,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.199,0.12,-0.12,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.203,0.104,-0.104,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.212,0.11,-0.11,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.129,0.008,-0.008,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.122,0.007,-0.007,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.13,0.059,-0.059,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.24,0.108,-0.108,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.101,0.007,-0.007,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.108,0.007,-0.007,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.112,0.008,-0.008,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.196,0.026,-0.026,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.23,0.021,-0.021,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.285,0.02,-0.02,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.255,0.015,-0.015,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.209,0.094,-0.094,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.228,0.103,-0.103,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.169,0.08,-0.08,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.21,0.037,-0.037,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.255,0.047,-0.047,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.201,0.036,-0.036,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.246,0.05,-0.05,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.115,0.057,-0.057,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.217,0.108,-0.108,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.175,0.01,-0.01,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.133,0.008,-0.008,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.195,0.012,-0.012,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.228,0.114,-0.114,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.277,0.139,-0.139,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.128,0.065,-0.065,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.232,0.119,-0.119,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.224,0.118,-0.118,NaN,NaN,NaN,2014
0.006,0.002,-0.001,0.259,0.136,-0.027,NaN,NaN,NaN,2013
0.024,0.011,-0.01,0.633,0.331,-0.064,NaN,NaN,NaN,2013
NaN,NaN,NaN,0.259,0.112,-0.112,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.257,0.11,-0.11,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.352,0.152,-0.152,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.146,0.061,-0.061,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.178,0.072,-0.072,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.134,0.06,-0.06,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.269,0.12,-0.12,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.113,0.055,-0.055,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.178,0.087,-0.087,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.23,0.105,-0.105,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.306,0.136,-0.136,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.184,0.079,-0.079,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.203,0.087,-0.087,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.211,0.119,-0.119,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.176,0.099,-0.099,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.222,0.126,-0.126,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.104,0.06,-0.06,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.18,0.104,-0.104,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.102,0.008,-0.008,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.12,0.009,-0.009,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.139,0.014,-0.014,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.119,0.009,-0.009,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.126,0.025,-0.025,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.238,0.046,-0.046,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.15,0.068,-0.068,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.285,0.129,-0.129,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.108,0.054,-0.054,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.212,0.106,-0.106,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.139,0.01,-0.01,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.13,0.009,-0.009,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.12,0.059,-0.059,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.166,0.082,-0.082,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.244,0.04,-0.04,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.249,0.046,-0.046,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.213,0.096,-0.096,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.245,0.111,-0.111,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.135,0.07,-0.07,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.231,0.121,-0.121,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.214,0.112,-0.112,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.181,0.066,-0.066,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.138,0.051,-0.051,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.17,0.013,-0.013,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.2,0.015,-0.015,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.091,0.004,-0.004,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.11,0.004,-0.004,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.109,0.009,-0.009,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.081,0.004,-0.004,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.252,0.037,-0.037,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.22,0.033,-0.033,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.277,0.05,-0.05,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.29,0.052,-0.052,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.19,0.037,-0.037,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.142,0.026,-0.026,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.219,0.043,-0.043,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.254,0.054,-0.054,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.145,0.009,-0.009,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.165,0.009,-0.009,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.229,0.046,-0.046,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.22,0.042,-0.042,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.128,0.025,-0.025,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.226,0.048,-0.048,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.16,0.035,-0.035,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.135,0.012,-0.012,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.146,0.011,-0.011,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.107,0.021,-0.021,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.158,0.03,-0.03,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.106,0.021,-0.021,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.14,0.027,-0.027,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.134,0.026,-0.026,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.295,0.056,-0.056,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.145,0.027,-0.027,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.124,0.023,-0.023,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.107,0.021,-0.021,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.132,0.025,-0.025,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.202,0.03,-0.03,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.277,0.045,-0.045,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.262,0.019,-0.019,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.323,0.017,-0.017,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.112,0.008,-0.008,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.115,0.008,-0.008,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.097,0.019,-0.019,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.244,0.045,-0.045,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.145,0.028,-0.028,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.209,0.04,-0.04,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.233,0.044,-0.044,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.19,0.036,-0.036,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.145,0.036,-0.036,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.158,0.037,-0.037,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.213,0.049,-0.049,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.156,0.037,-0.037,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.21,0.041,-0.041,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.271,0.053,-0.053,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.199,0.029,-0.029,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.165,0.024,-0.024,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.132,0.011,-0.011,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.28,0.023,-0.023,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.263,0.044,-0.044,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.319,0.054,-0.054,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.251,0.043,-0.043,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.072,0.004,-0.004,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.14,0.008,-0.008,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.087,0.005,-0.005,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.119,0.011,-0.011,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.153,0.015,-0.015,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.261,0.024,-0.024,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.244,0.022,-0.022,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.235,0.022,-0.022,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.282,0.125,-0.125,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.414,0.185,-0.185,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.329,0.145,-0.145,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.151,0.065,-0.065,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.178,0.078,-0.078,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.266,0.117,-0.117,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.214,0.093,-0.093,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.124,0.008,-0.008,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.278,0.023,-0.023,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.205,0.012,-0.012,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.176,0.013,-0.013,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.107,0.006,-0.006,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.164,0.009,-0.009,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.138,0.055,-0.055,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.203,0.08,-0.08,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.109,0.044,-0.044,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.277,0.14,-0.14,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.271,0.136,-0.136,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.136,0.063,-0.063,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.241,0.111,-0.111,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.36,0.165,-0.165,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.196,0.07,-0.07,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.439,0.155,-0.155,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.343,0.123,-0.123,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.38,0.194,-0.194,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.182,0.093,-0.093,NaN,NaN,NaN,2014
NaN,NaN,NaN,0.154,0.011,-0.011,NaN,NaN,NaN,2014
